lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
12,0,75.0,1,22,4,2,0,3,0,1
1,0,60.0,2,28,4,1,2,0,0,0
141,2,72.25,7,13,3,4,1,0,0,1
135,2,92.28,7,15,4,2,2,3,0,1
245,0,75.0,6,17,4,2,0,0,0,0
71,3,150.98,9,1,4,6,2,0,0,1
93,2,137.7,7,12,4,2,0,0,3,1
17,0,100.38,12,8,4,3,1,0,0,1
50,0,98.64,9,1,4,3,0,0,3,1
301,0,90.0,7,30,3,1,1,1,0,1
102,0,109.0,10,16,3,2,0,1,0,1
184,0,98.1,10,12,4,1,0,3,0,0
93,0,150.3,8,22,4,3,1,0,3,0
2,1,93.0,2,27,4,1,0,0,0,1
117,0,150.45,6,16,4,3,1,0,3,0
160,1,72.25,8,7,3,0,2,0,0,1
63,0,71.0,1,19,3,2,0,0,0,1
2,2,100.67,8,21,4,2,1,0,0,1
48,0,67.5,3,5,4,1,2,3,0,0
204,0,100.0,5,5,3,3,0,0,0,0
12,0,90.0,2,17,4,1,0,3,0,1
0,0,83.5,10,25,3,0,2,1,0,1
221,1,76.5,8,11,4,5,0,0,0,0
184,1,139.5,8,17,4,1,0,1,0,0
269,0,70.0,12,29,3,3,2,0,0,1
206,0,59.07,10,2,4,2,1,0,0,0
0,1,176.0,5,23,4,0,1,0,3,1
67,3,105.3,7,24,4,3,2,0,0,1
6,1,80.0,3,2,4,2,0,3,0,1
0,0,149.0,9,8,4,1,0,3,0,1
2,1,84.5,2,22,4,3,1,0,0,1
13,0,65.0,11,29,2,1,0,0,0,1
39,2,177.3,4,11,4,1,1,0,5,1
134,1,71.0,4,19,3,4,0,0,0,1
69,1,135.9,5,10,4,1,0,0,0,1
72,0,108.0,9,18,3,1,0,1,0,1
221,0,65.0,10,10,3,1,2,0,0,1
76,1,71.05,10,30,4,4,2,0,3,1
260,2,100.3,10,7,4,4,2,0,0,0
4,1,87.0,2,26,4,2,0,0,0,1
0,1,221.0,5,14,4,1,0,0,5,0
